caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
05/31/1961,0.023553,0.018924,0.043181,0.038794,0.019139
06/30/1961,-0.026673,-0.028725,-0.036306,-0.038926,-0.028846
07/31/1961,0.033795,0.033119,0.017996,0.016974,0.032797
08/31/1961,0.024730,0.019511,0.027919,0.023491,0.019623
09/29/1961,-0.018674,-0.019877,-0.025485,-0.027654,-0.019686
10/31/1961,0.028175,0.026791,0.022914,0.021595,0.028323
11/30/1961,0.045226,0.039324,0.041196,0.036662,0.039347
12/29/1961,0.004696,0.003465,-0.001532,-0.003924,0.003225
01/31/1962,-0.037356,-0.038692,-0.012560,-0.013858,-0.037876
02/28/1962,0.020592,0.016147,0.014284,0.010451,0.016270
03/30/1962,-0.003842,-0.005137,-0.008335,-0.010767,-0.005860
04/30/1962,-0.061743,-0.062443,-0.067393,-0.068373,-0.061970
05/31/1962,-0.079847,-0.085499,-0.089426,-0.093902,-0.085990
06/29/1962,-0.080669,-0.082222,-0.081229,-0.084086,-0.081838
07/31/1962,0.065203,0.063969,0.057917,0.056461,0.063562
08/31/1962,0.021669,0.015803,0.021886,0.017040,0.015284
09/28/1962,-0.048816,-0.050259,-0.058491,-0.061188,-0.048207
10/31/1962,0.008313,0.006405,-0.008516,-0.010464,0.004443
11/30/1962,0.108268,0.100528,0.132839,0.127246,0.101557
12/31/1962,0.015534,0.014040,-0.003741,-0.006833,0.013492
01/31/1963,0.050367,0.048957,0.073533,0.072098,0.049128
02/28/1963,-0.024189,-0.029164,-0.013529,-0.017706,-0.028852
03/29/1963,0.036581,0.035156,0.024483,0.021636,0.035464
04/30/1963,0.049070,0.048177,0.045601,0.044409,0.048520
05/31/1963,0.019674,0.013844,0.032577,0.028163,0.014327
06/28/1963,-0.018605,-0.019806,-0.015077,-0.017482,-0.020198
07/31/1963,-0.001821,-0.003131,-0.011361,-0.012758,-0.003460
08/30/1963,0.053466,0.048496,0.057987,0.053718,0.048749
09/30/1963,-0.010402,-0.011579,-0.019518,-0.021910,-0.011034
10/31/1963,0.034825,0.033290,0.026247,0.024639,0.032218
11/29/1963,-0.004487,-0.011085,-0.004267,-0.008521,-0.010539
12/31/1963,0.026065,0.024651,0.017259,0.013928,0.024444
01/31/1964,0.027391,0.026373,0.019843,0.018579,0.026926
02/28/1964,0.017015,0.012171,0.028215,0.024235,0.009865
03/31/1964,0.017232,0.015814,0.032726,0.029991,0.015167
04/30/1964,0.006192,0.005297,0.002203,0.000905,0.006077
05/28/1964,0.016815,0.011460,0.018079,0.014185,0.011452
06/30/1964,0.018084,0.016779,0.020368,0.017715,0.016424
07/31/1964,0.018910,0.017953,0.024316,0.022954,0.018240
08/31/1964,-0.011621,-0.016285,-0.008929,-0.012554,-0.016230
09/30/1964,0.030399,0.029022,0.034314,0.031397,0.028718
10/30/1964,0.008745,0.007566,0.016293,0.014895,0.008078
11/30/1964,0.001598,-0.004588,-0.000224,-0.004293,-0.005185
12/31/1964,0.005228,0.003803,-0.008076,-0.011202,0.003909
01/29/1965,0.034791,0.033837,0.056642,0.055452,0.033156
02/26/1965,0.003746,-0.000853,0.025174,0.021342,-0.001485
03/31/1965,-0.012213,-0.013685,0.001846,-0.000901,-0.014526
04/30/1965,0.035612,0.034769,0.031638,0.030490,0.034239
05/28/1965,-0.003122,-0.008354,-0.006473,-0.010308,-0.007743
06/30/1965,-0.046880,-0.048367,-0.067641,-0.070336,-0.048632
07/30/1965,0.014486,0.013678,0.024595,0.023334,0.013433
08/31/1965,0.027560,0.022473,0.042121,0.037825,0.022522
09/30/1965,0.033366,0.032034,0.030380,0.027897,0.032006
10/29/1965,0.028812,0.027737,0.039076,0.037682,0.027345
11/30/1965,-0.003821,-0.010306,0.020357,0.015716,-0.008764
12/31/1965,0.010349,0.009059,0.028025,0.025533,0.008951
01/31/1966,0.005705,0.004874,0.034103,0.032999,0.004869
02/28/1966,-0.012750,-0.017548,0.003274,-0.000444,-0.017873
03/31/1966,-0.023041,-0.024608,-0.023868,-0.026598,-0.021815
04/29/1966,0.022158,0.021250,0.025064,0.023884,0.020509
05/31/1966,-0.049140,-0.054645,-0.067310,-0.071517,-0.054140
06/30/1966,-0.014380,-0.015904,-0.010593,-0.013318,-0.016138
07/29/1966,-0.012129,-0.013039,-0.012030,-0.013255,-0.013453
08/31/1966,-0.071650,-0.077487,-0.086739,-0.091723,-0.077751
09/30/1966,-0.006244,-0.007692,-0.013219,-0.015999,-0.007004
10/31/1966,0.048333,0.047244,0.025877,0.024217,0.047544
11/30/1966,0.011223,0.003741,0.029148,0.022902,0.003117
12/30/1966,0.000326,-0.001089,0.012243,0.009408,-0.001492
01/31/1967,0.079215,0.077723,0.123985,0.122261,0.078178
02/28/1967,0.007514,0.002420,0.009006,0.004642,0.001963
03/31/1967,0.041137,0.039544,0.050558,0.047743,0.039410
04/28/1967,0.043371,0.042544,0.037676,0.036484,0.042239
05/31/1967,-0.046810,-0.052314,-0.028494,-0.033227,-0.052441
06/30/1967,0.019319,0.018015,0.036536,0.034047,0.017512
07/31/1967,0.046454,0.045623,0.067561,0.066296,0.045344
08/31/1967,-0.006824,-0.012197,0.004667,0.000358,-0.011715
09/29/1967,0.033815,0.032597,0.026207,0.023875,0.032785
10/31/1967,-0.027448,-0.028701,-0.049521,-0.051078,-0.029056
11/30/1967,0.006435,0.000533,-0.000446,-0.005120,0.001065
12/29/1967,0.027079,0.025857,0.045376,0.042955,0.026277
01/31/1968,-0.041875,-0.043523,-0.012453,-0.014207,-0.043848
02/29/1968,-0.026900,-0.031973,-0.030877,-0.035072,-0.031223
03/29/1968,0.009696,0.008585,0.003825,0.001547,0.009400
04/30/1968,0.084092,0.082642,0.102252,0.100449,0.081929
05/31/1968,0.016374,0.011104,0.042876,0.038751,0.011169
06/28/1968,0.009916,0.008695,0.020069,0.017868,0.009120
07/30/1968,-0.017444,-0.018664,-0.026167,-0.027628,-0.018478
08/30/1968,0.016415,0.011259,0.025886,0.021768,0.011459
09/30/1968,0.039351,0.038210,0.054931,0.052878,0.038539
10/31/1968,0.008587,0.006751,0.013221,0.011577,0.007208
11/29/1968,0.053580,0.048659,0.068079,0.064313,0.047964
12/31/1968,-0.040826,-0.042141,-0.024460,-0.026650,-0.041617
01/31/1969,-0.007547,-0.008612,-0.004498,-0.005810,-0.008184
02/28/1969,-0.042321,-0.047384,-0.063398,-0.066978,-0.047374
03/28/1969,0.034847,0.033599,0.021137,0.018878,0.034444
04/30/1969,0.022771,0.021449,0.011765,0.010072,0.021476
05/29/1969,0.003854,-0.001862,-0.005287,-0.009088,-0.002218
06/30/1969,-0.054357,-0.055686,-0.082492,-0.084785,-0.055577
07/31/1969,-0.058632,-0.059919,-0.069726,-0.071379,-0.060178
08/29/1969,0.045728,0.040180,0.044136,0.039639,0.040074
09/30/1969,-0.023941,-0.025285,-0.018318,-0.020838,-0.025024
10/31/1969,0.046900,0.044661,0.064115,0.061804,0.044244
11/28/1969,-0.029152,-0.034433,-0.043121,-0.047190,-0.035274
12/31/1969,-0.016922,-0.018365,-0.039930,-0.042640,-0.018655
01/30/1970,-0.075398,-0.076809,-0.058388,-0.059927,-0.076472
02/27/1970,0.059521,0.053615,0.068592,0.063780,0.052693
03/31/1970,0.002806,0.001232,0.003637,0.000726,0.001453
04/30/1970,-0.088831,-0.090035,-0.108801,-0.110449,-0.090483
05/29/1970,-0.054689,-0.061112,-0.082317,-0.087107,-0.060967
06/30/1970,-0.049032,-0.050902,-0.058854,-0.062243,-0.050033
07/31/1970,0.075523,0.073219,0.081903,0.079639,0.073295
08/31/1970,0.049778,0.043782,0.062742,0.057507,0.044459
09/30/1970,0.034702,0.033021,0.065250,0.062405,0.032998
10/30/1970,-0.009032,-0.011639,-0.032163,-0.034400,-0.011400
11/30/1970,0.054387,0.048836,0.046937,0.042169,0.047447
12/31/1970,0.058684,0.057358,0.084505,0.081912,0.056766
01/29/1971,0.042828,0.041500,0.083935,0.082498,0.040477
02/26/1971,0.013317,0.008152,0.021101,0.017321,0.009074
03/31/1971,0.039068,0.037624,0.039888,0.037383,0.036796
04/30/1971,0.036965,0.035789,0.041374,0.039944,0.036288
05/28/1971,-0.037150,-0.042138,-0.041095,-0.044648,-0.041558
06/30/1971,0.002439,0.001061,-0.005647,-0.008119,0.000703
07/30/1971,-0.040827,-0.041901,-0.042866,-0.044264,-0.041324
08/31/1971,0.042036,0.036549,0.052668,0.048587,0.036095
09/30/1971,-0.005038,-0.006387,-0.014162,-0.016264,-0.006968
10/29/1971,-0.040129,-0.042015,-0.054981,-0.056837,-0.041794
11/30/1971,0.002898,-0.002029,-0.017273,-0.021114,-0.002547
12/31/1971,0.087880,0.086486,0.108969,0.106608,0.086179
01/31/1972,0.019088,0.017814,0.038139,0.036525,0.018121
02/29/1972,0.030221,0.025416,0.027578,0.024026,0.025303
03/30/1972,0.007315,0.006132,0.001281,-0.000764,0.005912
04/28/1972,0.005476,0.004658,0.004670,0.003367,0.004384
05/31/1972,0.022019,0.016763,0.000945,-0.003015,0.017275
06/30/1972,-0.020156,-0.021378,-0.031020,-0.033208,-0.021821
