caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
11/08/1948,0.001944,-0.000854,0.004451,0.003134,
11/09/1948,-0.032515,-0.032718,-0.038462,-0.038651,
11/10/1948,0.000669,-0.000365,-0.000596,-0.002630,
11/12/1948,0.002812,0.002812,0.003460,0.003460,
11/13/1948,0.003709,0.003709,0.003069,0.003069,
11/15/1948,0.011107,0.011012,0.011750,0.011415,
11/16/1948,0.004113,0.000162,0.003802,0.003442,
11/17/1948,-0.001917,-0.002406,-0.001662,-0.002460,
11/18/1948,0.003119,0.002385,0.001959,0.001257,
11/19/1948,0.003702,0.003702,0.005749,0.005749,
11/20/1948,0.001778,0.001778,0.001390,0.001390,
11/22/1948,-0.008136,-0.008306,-0.006527,-0.007122,
11/23/1948,-0.001277,-0.001325,-0.002025,-0.002384,
11/24/1948,-0.017930,-0.018399,-0.019601,-0.021149,
11/26/1948,0.000325,-0.000892,-0.000732,-0.001340,
11/27/1948,-0.000041,-0.000041,-0.000148,-0.000148,
11/29/1948,-0.007944,-0.008455,-0.008092,-0.009144,
11/30/1948,-0.002560,-0.002560,-0.002770,-0.002770,
12/01/1948,0.018945,0.018700,0.020568,0.020152,
12/02/1948,0.000513,-0.000756,0.000643,-0.000305,
12/03/1948,0.008352,0.007850,0.006422,0.005873,
12/04/1948,0.007890,0.007890,0.007936,0.007936,
12/06/1948,-0.001184,-0.001184,-0.000893,-0.000893,
12/07/1948,0.000594,0.000513,-0.000056,-0.000121,
12/08/1948,-0.001129,-0.002632,-0.003890,-0.005307,
12/09/1948,-0.001834,-0.001834,-0.003185,-0.003185,
12/10/1948,0.002808,0.002808,0.002567,0.002567,
12/11/1948,0.007967,0.007967,0.009553,0.009553,
12/13/1948,0.000164,-0.000205,0.000150,-0.000105,
12/14/1948,-0.005379,-0.005379,-0.007008,-0.007008,
12/15/1948,-0.004553,-0.005511,-0.004289,-0.004838,
12/16/1948,-0.000713,-0.001012,-0.002260,-0.002446,
12/17/1948,0.002997,0.002997,0.000370,0.000370,
12/18/1948,-0.000828,-0.000828,-0.001656,-0.001656,
12/20/1948,0.000322,0.000132,0.001283,0.000688,
12/21/1948,-0.004016,-0.004016,-0.002795,-0.002795,
12/22/1948,0.001056,0.000961,0.001171,0.001006,
12/23/1948,-0.000161,-0.000161,0.004356,0.004356,
